Nombre,Ubicacion,Url,Salario,Modalidad,Descripcion
Tecnico En Climatizacion - Quito,None,/tecnico-en-climatizacion-quito-en-quito-ID-1290283,None,None,"Requisitos- Tecnologo en Climatizacion, Refrigeracion o afines.- 2 anos de experiencia- Conocimientos en sistemas de mantenimiento de refrigeracion.- Instalacion de aires acondicionados.Sueldo + Beneficios de Ley."
Freelance - Soporte Informatico,None,/freelance-soporte-informatico-en-cuenca-ID-1290288,None,None,"Ubicacion: remotoTipo de contrato: FreelanceSalario: competitivo, basado en experiencia.Como compania dedicada a las Tecnologias Informativas, estamos en la busqueda de un experto e independiente Soporte TI freelance para anadir a nuestro equipo.Dentro de este cargo, deberas proveer soporte tecnico a nuestros clientes y seras responsable de resolver incidentes y una variedad de acontecimientos en diversos entornos, asegurando una operacion impecable y un excepcional servicio al cliente.Responsabilidades claves:- Entregar soporte tecnico tanto para hardware como software, igualmente para incidencias de redes que presenten nuestros clientes.- Ofrecer consejeria y capacitacion tecnica a nuestros clientes y usuarios de nuestros sistemas y software.- Realizar actualizaciones de sistema, software y otros servicios de mantenimiento TI segun se necesite.- Mantener registro y reportar todas solicitudes, trabajos y soluciones realizadas.- Mantener un alto nivel de profesionalismo y satisfaccion de nuestros clientes en cada funcion.Requisitos basicos y experiencia:- Experiencia comprobable en entregar soporte TI, preferiblemente en un entorno en terreno y/o freelance.- Habilidades avanzadas en entornos de Windows, macOS, Linux y otrs sistemas operativos comunmente utilizados en entornos profesionales.- Gran conocimiento en resolucion de incidencias, con principal enforque en los detalles y resolucion de problemas.- Solido conocimiento en redes (LAN, Wi-Fi, VPN, etc.)y configuracion de hardware.- Excelentes habilidades de comunicacion y de atencion al cliente.- Habilidad para manejar tu propio horario, trabajar de manera independiente y proactiva.Habilidades deseables:- Familiaridad con Microsoft Server, Active Directory, Office 365 y otros softwares empresariales.- Experiencia en protocolos de seguridad TI y buenas practicas.- Certificaciones adicionales en area TI a fin seran altamente valoradas.Por que trabajar con nosotros- Oportunidad freelance altamente flexible con un salario competitivo.- La posibilidad de trabajar con una gran variedad de clientes e industrias, obteniendo diversas experiencias.- Independencia para manejar tu propio horario de trabajo.- Oportunidad para renovaciones de contrato y de negocios con nuestra empresa.- Ser parte de una red de profesionales considerados, empaticos e inclusivos.Si eres un tecnico TI profesional que gusta de solucionar incidentes y ayudar a clientes, estamos mas que emocionados de recibir tu postulacion"
Soporte Informatico Freelance - Ciudad De Loja,None,/soporte-informatico-freelance-ciudad-de-loja-en-loja-ID-1290291,None,None,"Somos una empresa dedicada a las tecnologias informativas y estamos en la busqueda de un profesional de Soporte TI Freelance para unirse a nuestro equipo.Si tienes experiencia en resolucion de incidentes de hardware y software y atencion al cliente esta es tu oportunidadRequisitos:- Titulo de educacion superior en area TI a fin (Informatica, Sistemas, Redes, entre otros).- Excelentes habilidades de Atencion al Cliente, con la capacidad de comunicarte eficazmente con usuarios de diferentes niveles de conocimientos tecnicos.- Familiaridad con la configuracion y el soporte de VPN.- Experiencia en el manejo de Office 365, incluyendo la configuracion y el soporte a usuarios.- Experiencia comprobable en toma remota de equiposResponsabilidades:- Entregar soporte tecnico tanto para hardware como software, igualmente para incidencias de redes que presenten nuestros clientes.- Ofrecer consejeria y capacitacion tecnica a nuestros clientes y usuarios de nuestros sistemas y software.- Realizar actualizaciones de sistema, software y otros servicios de mantenimiento TI segun se necesite.- Mantener registro y reportar todas solicitudes, trabajos y soluciones realizadas.- Mantener un alto nivel de profesionalismo y satisfaccion de nuestros clientes en cada funcion.Si eres un tecnico TI profesional que gusta de solucionar incidentes y ayudar a clientes, estamos mas que emocionados de recibir tu postulacion"
Contador,None,/contador-en-cayambe-ID-1290302,None,None,Funciones:Realizar estados financieros y analisis contable.Gestionar impuestos y declaraciones fiscales.Control de presupuestos.Asesorar en decisiones financieras.Habilidades y competencias:Precision en la gestion de informacion financiera.Habilidad para interpretar datos y realizar proyecciones.Capacidad para gestionar multiples tareas y plazos.Actualizacion constante en leyes y regulaciones fiscales y tributarias.Confidencialidad y responsabilidad en el manejo de informacion.Manejo de sistemas contables
Tecnico Cablista En Fibra Optica,None,/tecnico-cablista-en-fibra-optica-en-ambato-ID-1290303,None,None,Tecnico cablista en fibra optica para campo:Conocimiento en:* Armado de herrajes y preformados.* Colocacion de NAP para clientes.* Armado de mangas y ODFS.* Manejo de OTDR y Fusionadora.REQUERIMIENTO:* Licencia tipo C.* Permiso en Alturas.
Administrador,None,/administrador-en-quito-ID-1290310,None,None,"Nos encontramos en la busqueda de un coordinador administrativo para supervisar y gestionar las actividades operativas y garantizar el uso de recursos.Experiencia de 3 anos en cargos similares.Conocimientos tecnicos en contabilidad y auditoria Competencias: proactividad, liderazgo, comunicacion asertiva, orientacion a resultados."
Agente De Soluciones Digitales Claro Modo Teletrabajo,None,/agente-de-soluciones-digitales-claro-modo-teletrabajo-en-portoviejo-ID-1290340,None,None,"Unete al equipo NEXTCORE Y CLARO lider en ventas de servicios Fijos y moviles en todo el Ecuador y alcanza el exito con nosotrosTienes pasion por las ventas y habilidades excepcionales para conectar con las personasEsta es tu oportunidadEstamos buscando Agentes de Ventas comprometidos, dinamicos y proactivos para formar parte de nuestro equipo.Si te encanta trabajar con personas desde casa, en campo, mediante redes sociales y cerrar negocios, alcanzar tus metas personales y economicas te queremos con nosotrosQue haras• Identificar, contactar, gestionar, cerrar nuevos y potenciales que necesiten Internet por Fibra Optica o planes Moviles en tu ciudad o en todo el Pais • Promocionar nuestros innovadores servicios y sus valores agregados • Cerrar ventas, cumpliendo y superando los objetivos establecidos.• Construir relaciones solidas y brindar un servicio postventa de calidad para garantizar la satisfaccion de nuestros clientes.Que buscamos• Ganas de triunfarExperiencia en ventas es un plus, pero lo mas importante es tu actitud.• Excelentes habilidades de comunicacion, persuasion y negociacion.• Autonomia, proactividad y capacidad para trabajar en equipo.• Deseable: conocimiento de productos y servicios telecomunicaciones e internet• PC o laptop, Internet y llamadas telefonicas Que te ofrecemos• Ingresos sin limites: Sueldo + Comisiones por ventas, evaluacion por corto periodo de prueba para contratacion fija, Bonos y Premios o solo comisiones muy buenas• Capacitacion constante para desarrollar tus habilidades.• Posibilidades reales de crecimiento profesional en una empresa lider.• Un ambiente de trabajo motivador, dinamico y colaborativo en modo Teletrabajo No esperes mas para transformar tu futuroEnvia tu CV a ****** y preparate para formar parte de una experiencia profesional unica.Te estamos esperandoSolicita una entrevista al 0968406730www.nextcore.net.ec"
Agente De Soluciones Digitales Claro Modo Teletrabajo,None,/agente-de-soluciones-digitales-claro-modo-teletrabajo-en-cuenca-ID-1290341,None,None,"Unete al equipo NEXTCORE Y CLARO lider en ventas de servicios Fijos y moviles en todo el Ecuador y alcanza el exito con nosotrosTienes pasion por las ventas y habilidades excepcionales para conectar con las personasEsta es tu oportunidadEstamos buscando Agentes de Ventas comprometidos, dinamicos y proactivos para formar parte de nuestro equipo.Si te encanta trabajar con personas desde casa, en campo, mediante redes sociales y cerrar negocios, alcanzar tus metas personales y economicas te queremos con nosotrosQue haras• Identificar, contactar, gestionar, cerrar nuevos y potenciales que necesiten Internet por Fibra Optica o planes Moviles en tu ciudad o en todo el Pais • Promocionar nuestros innovadores servicios y sus valores agregados • Cerrar ventas, cumpliendo y superando los objetivos establecidos.• Construir relaciones solidas y brindar un servicio postventa de calidad para garantizar la satisfaccion de nuestros clientes.Que buscamos• Ganas de triunfarExperiencia en ventas es un plus, pero lo mas importante es tu actitud.• Excelentes habilidades de comunicacion, persuasion y negociacion.• Autonomia, proactividad y capacidad para trabajar en equipo.• Deseable: conocimiento de productos y servicios telecomunicaciones e internet• PC o laptop, Internet y llamadas telefonicas Que te ofrecemos• Ingresos sin limites: Sueldo + Comisiones por ventas, evaluacion por corto periodo de prueba para contratacion fija, Bonos y Premios o solo comisiones muy buenas• Capacitacion constante para desarrollar tus habilidades.• Posibilidades reales de crecimiento profesional en una empresa lider.• Un ambiente de trabajo motivador, dinamico y colaborativo en modo Teletrabajo No esperes mas para transformar tu futuroEnvia tu CV a ****** y preparate para formar parte de una experiencia profesional unica.Te estamos esperandoSolicita una entrevista al 0968406730www.nextcore.net.ec"
Agente De Soluciones Digitales Claro Modo Teletrabajo,None,/agente-de-soluciones-digitales-claro-modo-teletrabajo-en-guayaquil-ID-1290358,None,None,"Unete al equipo NEXTCORE Y CLARO lider en ventas de servicios Fijos y moviles en todo el Ecuador y alcanza el exito con nosotrosTienes pasion por las ventas y habilidades excepcionales para conectar con las personasEsta es tu oportunidadEstamos buscando Agentes de Ventas comprometidos, dinamicos y proactivos para formar parte de nuestro equipo.Si te encanta trabajar con personas desde casa, en campo, mediante redes sociales y cerrar negocios, alcanzar tus metas personales y economicas te queremos con nosotrosQue haras• Identificar, contactar, gestionar, cerrar nuevos y potenciales que necesiten Internet por Fibra Optica o planes Moviles en tu ciudad o en todo el Pais • Promocionar nuestros innovadores servicios y sus valores agregados • Cerrar ventas, cumpliendo y superando los objetivos establecidos.• Construir relaciones solidas y brindar un servicio postventa de calidad para garantizar la satisfaccion de nuestros clientes.Que buscamos• Ganas de triunfarExperiencia en ventas es un plus, pero lo mas importante es tu actitud.• Excelentes habilidades de comunicacion, persuasion y negociacion.• Autonomia, proactividad y capacidad para trabajar en equipo.• Deseable: conocimiento de productos y servicios telecomunicaciones e internet• PC o laptop, Internet y llamadas telefonicas Que te ofrecemos• Ingresos sin limites: Sueldo + Comisiones por ventas, evaluacion por corto periodo de prueba para contratacion fija, Bonos y Premios o solo comisiones muy buenas• Capacitacion constante para desarrollar tus habilidades.• Posibilidades reales de crecimiento profesional en una empresa lider.• Un ambiente de trabajo motivador, dinamico y colaborativo en modo Teletrabajo No esperes mas para transformar tu futuroEnvia tu CV a ****** y preparate para formar parte de una experiencia profesional unica.Te estamos esperandoSolicita una entrevista al 0968406730www.nextcore.net.ec"
Agente De Soluciones Digitales Claro Modo Teletrabajo,None,/agente-de-soluciones-digitales-claro-modo-teletrabajo-en-ecuador-ID-1290360,None,None,"Unete al equipo NEXTCORE Y CLARO lider en ventas de servicios Fijos y moviles en todo el Ecuador y alcanza el exito con nosotrosTienes pasion por las ventas y habilidades excepcionales para conectar con las personasEsta es tu oportunidadEstamos buscando Agentes de Ventas comprometidos, dinamicos y proactivos para formar parte de nuestro equipo.Si te encanta trabajar con personas desde casa, en campo, mediante redes sociales y cerrar negocios, alcanzar tus metas personales y economicas te queremos con nosotrosQue haras• Identificar, contactar, gestionar, cerrar nuevos y potenciales que necesiten Internet por Fibra Optica o planes Moviles en tu ciudad o en todo el Pais • Promocionar nuestros innovadores servicios y sus valores agregados • Cerrar ventas, cumpliendo y superando los objetivos establecidos.• Construir relaciones solidas y brindar un servicio postventa de calidad para garantizar la satisfaccion de nuestros clientes.Que buscamos• Ganas de triunfarExperiencia en ventas es un plus, pero lo mas importante es tu actitud.• Excelentes habilidades de comunicacion, persuasion y negociacion.• Autonomia, proactividad y capacidad para trabajar en equipo.• Deseable: conocimiento de productos y servicios telecomunicaciones e internet• PC o laptop, Internet y llamadas telefonicas Que te ofrecemos• Ingresos sin limites: Sueldo + Comisiones por ventas, evaluacion por corto periodo de prueba para contratacion fija, Bonos y Premios o solo comisiones muy buenas• Capacitacion constante para desarrollar tus habilidades.• Posibilidades reales de crecimiento profesional en una empresa lider.• Un ambiente de trabajo motivador, dinamico y colaborativo en modo Teletrabajo No esperes mas para transformar tu futuroEnvia tu CV a ****** y preparate para formar parte de una experiencia profesional unica.Te estamos esperandoSolicita una entrevista al 0968406730www.nextcore.net.ec"
