Nombre,Ubicacion,Salario,Modalidad,Idioma,Experiencia,Conocimientos,Url,Descripcion
Work From Home Wordpress Developer,"Eloy Alfaro, Esmeraldas",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Lean, Agile, WordPress",None,None
Trabajo Desde Casa Desarrollador Java Junior,"Cuenca, Azuay",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, SWIFT, Objective-C, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador Node Backend,"Cuenca, Azuay",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Node.js, Lean, Agile",None,None
Trabajo Desde Casa Node Developer,"Cuenca, Azuay",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Node.js, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador Android,"Machala, El Oro",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Lean, Agile",None,None
Work From Home Data Analytics Developer,"Machala, El Oro",None,Remoto,Idiomas: Ingles,3 anos de experiencia,"Conocimientos: SQL Server, Python, R, Tecnologia de la informacion, Impala, Apache Hive, Hadoop, Spark, Machine Learning, Lean, Agile",None,None
Work From Home Junior Python Backend Developer / Research + Development,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,1 ano de experiencia,"Conocimientos: Oracle, SQL Server, Python, Tecnologia de la informacion, Django, Node.js, Lean, MySql",None,None
Trabajo Desde Casa Desarrollador Junior/MidLevel .NET / I + D,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: SQL Server, C#, CSS, Dot Net, HTML, JavaScript, Tecnologia de la informacion, Lean, Agile",None,None
Desarrollador programador,"Guayaquil, Guayas",None,,"Idiomas: Espanol ,Ingles",3 anos de experiencia,Edad: A partir de 20 anos,None,None
Trabajo Desde Casa Python Developer,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Oracle, SQL Server, Python, Tecnologia de la informacion, Django, Lean, Agile, MySql",None,None
Trabajo Desde Casa Desarrollador Ruby on Rails,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: CSS, JavaScript, Tecnologia de la informacion, Testeo, Ruby on Rails, AngularJS, Lean, Agile, HTML 5",None,None
Trabajo Desde Casa Desarrollador Fullstack .NET + Angular / Investigacion y Desarrollo,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: SQL Server, C#, CSS, Dot Net, HTML, JavaScript, Tecnologia de la informacion, Lean, Agile",None,None
Work From Home Junior Angular Developer / R+D,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: PostgreSQL, CSS, HTML, Java, JavaScript, Tecnologia de la informacion, AngularJS, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador .NET Core,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: SQL Server, Dot Net, Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador ETL,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: SQL Server, Tecnologia de la informacion, Lean, Agile",None,None
Work From Home Wordpress Developer,"Cuenca, Azuay",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Lean, Agile, WordPress",None,None
Trabajo Desde Casa Desarrollador Node Junior/MidLevel,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Node.js, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador PHP,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: CSS, HTML, PHP, Tecnologia de la informacion, Laravel, Zend Framework, Symfony, AngularJS, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador React Frontend,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: CSS, JavaScript, Tecnologia de la informacion, Backbone.js, AngularJS, Lean, Agile, HTML 5",None,None
Trabajo Desde Casa React Native Developer,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: CSS, JavaScript, Tecnologia de la informacion, Ruby on Rails, Lean, Agile, HTML 5",None,None
Work From Home Ruby Junior Developer,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: CSS, HTML, JavaScript, Tecnologia de la informacion, Testeo, Ruby on Rails, AngularJS, Lean, Agile",None,None
Work From Home Senior Python Developer,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Oracle, SQL Server, Tecnologia de la informacion, Django, Node.js, Lean, Agile, MySql",None,None
Trabajo Desde Casa Desarrollador TypeScript,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: CSS, HTML, JavaScript, jQuery, Tecnologia de la informacion, Lean, Agile",None,None
