Nombre,Ubicacion,Salario,Habilidades Clave,Formacion,Experiencia,Modalidad,Url,Descripcion
Desarrollador software full stack.,Bogota,$8 a $10 millones,"desarrollador
                                        
                                            desarrolladores
                                        
                                    Desarrollador
                                
                                    Desarrollador de software
                                
                                    Desarrollador Web",Universitaria,"3 anos de experiencia
        
          Contrato Definido
        1886381107",None,/co/ofertas-trabajo/desarrollador-software-full-stack-1886381107,"Nos encontramos en busqueda de un desarrollador que cuente con conocimientos en logica del servidores, creacion de APIs (interfaces de programacion de aplicaciones, manejo de sistemas JavaScript, MySQL, PostgreSQL, HTML, .NET, SQL SERVER, creacion y diseno de la estructura visual y la experiencia de usuario (UX).Experiencia y Conocimientos:	3 anos de experiencia en desarrollo de softwareFormacion Academica:Profesional en carreras informaticas, ingenieria o afinesCondiciones laboralesContrato fijo a 6 meses renovacion automatica de cuerdo al desempenoHorario: lunes a viernesSitio de trabajo: Cafam Floresta 1 mes presencial, luego modalidad hibridaSalario: 8.949.500
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  ComputacionAdministracion de sistemas informaticos3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador,Bogota,$8 a $10 millones,"desarrollador
                                        
                                            desarrolladores
                                        
                                    Desarrollador
                                
                                    Desarrollador de software
                                
                                    Desarrollador Web",Universitaria,"3 anos de experiencia
        
          Contrato Definido
        1886377276",None,/co/ofertas-trabajo/desarrollador-1886377276,"Nos encontramos en busqueda de un desarrollador que cuente con conocimientos en logica del servidores, creacion de APIs (interfaces de programacion de aplicaciones, manejo de sistemas JavaScript, MySQL, PostgreSQL, HTML, .NET, SQL SERVER, creacion y diseno de la estructura visual y la experiencia de usuario (UX).Experiencia y Conocimientos:	3 anos de experiencia en desarrollo de softwareFormacion Academica:Profesional en carreras informaticas, ingenieria o afinesCondiciones laboralesContrato fijo a 6 meses renovacion automatica de cuerdo al desempenoHorario: lunes a viernesSitio de trabajo: Cafam Floresta 1 mes presencial, luego modalidad hibridaSalario: 8.949.500
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  ComputacionAdministracion de sistemas informaticos3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Profesional de desarrollo,Bogota,"$3 a $3,5 millones","desarrollador
                                        
                                    Desarrollador Web",Universitaria,"5 anos de experiencia
        
          Contrato Indefinido
        1886381011",None,/co/ofertas-trabajo/profesional-de-desarrollo-1886381011,"Salario: $3.215.000Modalidad: Hibrida BogotaPrincipales responsabilidades:1. Planificar y desarrollar aplicativos a la medida para los colaboradores de la asociacion, utilizando tecnologias adecuadas, con el fin de optimizar su productividad y facilitar el cumplimiento de sus funciones.2. Monitorear y realizar mantenimiento continuo del backend y el frontend de la pagina web de la compania para garantizar su correcto funcionamiento y asegurar la disponibilidad y rendimiento optimos.3. Brindar soporte tecnico sobre los aplicativos desarrollados, gestionando incidencias y solicitudes, para asegurar su correcto uso y funcionamiento dentro de la organizacion.4. Construir soluciones tecnologicas mediante web services, integrando desarrollos de proveedores, con el objetivo de mejorar la interoperabilidad y el flujo de informacion entre sistemas.5. Mantener actualizadas las bases de datos, ejecutando procesos de respaldo y optimizacion, para garantizar su integridad y correcto funcionamiento dentro de los sistemas de la empresa.6. Proporcionar soporte de primer nivel a las bases de datos de la asociacion, gestionando consultas y problemas iniciales, con el fin de garantizar su estabilidad y accesibilidad para los usuarios.
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenierìa De Software5 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador (a),Bogota,Salario a convenir,"desarrollador
                                        
                                    Desarrollador
                                
                                    Analista de desarrollo de software
                                
                                    Analista de pruebas de software - Testing",Universitaria,"1 ano de experiencia
        
          Contrato Definido
        1886380546",None,/co/ofertas-trabajo/desarrollador-a-1886380546,"A traves de la innovacion y planeacion, la Universidad El Bosque esta comprometida con elavance del conocimiento cientifico y tecnologico de nuestros colaboradores, por eso buscamosque seas parte de nuestro equipo de trabajo.Requerimos profesionales en Ingenieria de Sistemas /  Electronica, para desarrollar las principales funciones:Levantamiento de requerimientosConstruccion de softwareAnalisis de requerimientos de software.Realizar pruebas funcionales de software.Requerimientos: Minimo 1 ano de experiencia Desarrollo de software en lenguajes HTML, PHP, MYSQL, JAVASCRIPT, JQUERY, AJAX, CSS, JAVA.Desarrollo sobre frameworks Backend: SpringBootDesarrollo sobre frameworks/librerias Fronted: ReactProgramacion Orientada a Objetos (POO). Herramientas de versionamiento de software (Git,github, etc)Metodologias agiles como Scrum.Herramientas de metodologias agiles como Kanban, Jira, entre otros.
        

        
                Profesional
            
                Universitaria
            Tecn Sistemas  ComputacionIngenierìa De Software1 ano de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador java,Remoto,$6 a $8 millones,"desarrollador
                                        
                                    Desarrollador backend",Universitaria,"3 anos de experiencia
        
          Contrato Indefinido
        1886370480",None,/co/ofertas-trabajo/desarrollador-java-1886370480,"Unete al equipo de ITS SOLUTIONSDurante mas de dos decadas, hemos sido lideres en el mercado de soluciones tecnologicas, centrandonos en ofrecer servicios agiles e integrales respaldados por las mejores practicas de la industria. Contamos con un equipo de talento excepcional, tanto a nivel nacional como internacional. Estamos emocionados de ampliar nuestro equipo con individuos apasionados y con experiencia como tu.Requisitos:Experiencia demostrable de 3 a 5 anos en desarrollo backend con Java (versiones 8 o superiores).Profundo conocimiento en frameworks como Spring Boot, Hibernate, y JPA.Experiencia en la creacion y consumo de APIs RESTful.Solida comprension de bases de datos relacionales (como MySQL, PostgreSQL) y bases de datos NoSQL (como MongoDB, Cassandra).Experiencia con herramientas de construccion y automatizacion (Maven, Gradle).Familiaridad con contenedores y tecnologias de orquestacion como Docker y Kubernetes.Experiencia con metodologias agiles (Scrum, Kanban).Conocimientos en seguridad de aplicaciones y buenas practicas de desarrollo seguro.Responsabilidades:Disenar, desarrollar y mantener aplicaciones backend robustas, escalables y seguras utilizando Java y tecnologias relacionadas.Participar en la arquitectura y el diseno de sistemas, asegurando que las soluciones sean eficientes y sostenibles.Colaborar con equipos multidisciplinarios para definir y construir nuevos servicios y mejorar los existentes.Desarrollar APIs RESTful para integrar aplicaciones frontend y servicios externos.Optimizar la performance del codigo y garantizar su calidad mediante pruebas automatizadas, revisiones de codigo y buenas practicas de desarrollo.Identificar y resolver problemas tecnicos, asegurando la estabilidad y confiabilidad de las aplicaciones.Mantenerse actualizado con las nuevas tecnologias y tendencias en el desarrollo backend y proponer mejoras continuas.Unete a una cultura de aprendizaje continuo en ITS SOLUTIONS, donde tendras:Trabajo en modalidad 100% RemotoContrato a termino IndefinidoSalario competitivo de acuerdo al mercadoAdemas, al ser parte de nuestro equipo, tendras acceso a un conjunto de beneficios, que incluyen:Estabilidad laboral, buscamos construir relaciones a largo plazo contigo.Un plan de bienestar disenado para apoyar tu salud y bienestar en el trabajo.Formacion continua: Acceso ilimitado a una de las mayores plataformas de aprendizaje en linea, con sesiones de formacion en areas de tu interes.Cultura de empresa: Celebramos juntos eventos importantes y promovemos la integracion a traves de actividades compartidas.Bonos especiales: Reconocemos y recompensamos tu pasion y compromiso al traer nuevos clientes y colaboradores a nuestra empresa.Convenios exclusivos: Descuentos en boleteria, creditos y seguros.
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  Computacion3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador de java (remoto bogota),Bogota,$6 a $8 millones,"desarrollador
                                        
                                    Desarrollador backend",Universitaria,"5 anos de experiencia
        
          Contrato Por obra o labor
        1886381408",None,/co/ofertas-trabajo/desarrollador-de-java-remoto-bogota-1886381408,"Importante empresa del sector tecnologia requiere para su equipo Ingeniero Ingeniero de sistemas o a fines con minimo 4 anos como programador Java, manejando, SPRINT BOOT, desarrollo web, desarrollo JEE, desarrollo PLSQL, JAVA SCRIPT, SQL avanzado, servicios web, metodologias de desarrollo (SCRUM, XP), Jira y UML. Modalidad: Remoto (Bogota)Contrato: Obra Labor 70/30Salario: A convenir
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  Computacion5 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Analista desarrollador semi senior (fullstack),Remoto,"$5,5 a $6 millones","desarrollador
                                        
                                    Desarrollador
                                
                                    Desarrollador de software
                                
                                    Desarrollador full stack",Universitaria,"4 anos de experiencia
        
          Contrato Indefinido
        1886343313",None,/co/ofertas-trabajo/analista-desarrollador-semi-senior-fullstack-1886343313,"Importante empresa de tecnologia requiere profesional en ingenieria de sistemas, electronica, software y/ o afines o estudiante de ultimos semestres, con minimo cuatro (4) de experiencia en funciones propias del cargo desarrollar funcionalidades y/o componentes de alta complejidad segun asignacion. Salario $5.524.000, contrato a termino indefinido + beneficios: Medicina prepagada para el colaborador y 2 meses de licencia en Platzi. Modalidad: virtual.
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenierìa De Software4 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Coordinador de desarrollo mobile,Medellin,$6 a $8 millones,"desarrollador
                                        
                                            android nativo
                                        
                                            desarrollador android
                                        
                                            java
                                        
                                            kotlin
                                        
                                            developer
                                        
                                    Desarrollador de aplicaciones moviles - Android",Universitaria,"5 anos de experiencia
        
          Contrato Indefinido
        1886382662",None,/co/ofertas-trabajo/coordinador-de-desarrollo-mobile-1886382662,"Empresa lider en otorgamiento de creditos de consumo para adquirir equipos moviles, esta en busqueda de un Coordinador de desarrollo mobile para aplicacion Movil (Android), con amplia experiencia en el desarrollo de aplicaciones moviles. Los idiomas de programacion que debe dominar son: Java, Kotlin y Android Nativo, para contratacion inmediata.Labor 100% presencial de lunes a sabado.Experiencia Requerida superior a 5 anos.Requisitos:* Ingeniero de sistemas o afines* Experiencia comprobada en desarrollo nativo de Android con Java y Kotlin.* Conocimientos solidos en arquitecturas MVVM, MVP y MVC.* Familiaridad con herramientas de desarrollo, como Android Studio y Gradle.* Comprension de los principios de diseno de interfaces de usuario y capacidad para crear interfaces de usuario intuitivas.* Experiencia trabajando con APIs RESTful y JSON.* Conocimientos en control de versiones con Git.* Principios Solid* Conocimiento en Google Play y manejo de bases de datos* Preferiblemente con experiencia en el sector bancario, financiero y FINTECH.* Capacidad de liderar equipos de alto desempenoResponsabilidades:* Desarrollar y mantener aplicaciones Android de alta calidad.* Colaborar con el equipo de diseno para definir e implementar nuevas caracteristicas.* Traducir disenos y wireframes en codigo limpio y eficiente.* Optimizar las aplicaciones para maximizar el rendimiento.* Garantizar la calidad del codigo mediante revision de codigo, pruebas unitarias y pruebas de integracion.* Identificar y corregir errores y problemas de rendimiento y desarrollar pruebas automatizadas.Condiciones:Salario 7.000.000Contrato a termino indefinidoHorarios:Lunes a viernes 8 am - 6 pm con 2 horas de almuerzoy sabados de 8 a 2:30 Presencial barrio restrepoSi estas listo para unirte a un equipo dinamico, crecer laboralmente y hacer una verdadera diferencia, envianos tu HVNota: Solo se consideraran los candidatos que cumplan con los requisitos mencionados anteriormente.
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  Computacion5 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador de canales / dealers,Cali,Salario a convenir,"Desarrollador de canales
                                        
                                            Desarrollador de negocios distribuidores
                                        
                                    Jefe comercial distribuidores",Universitaria,"3 anos de experiencia
        
          Contrato Indefinido
        1886370593",None,/co/ofertas-trabajo/desarrollador-de-canales---dealers-1886370593,"Nos encontramos en la busqueda de un desarrollador de canalesMision del cargo: Lider encargado(a) de todo lo que es el desarrollo de canales de la organizacion (cliente final y distribuidores a nivel Latam), busqueda de clientes y relacionamiento comercial.Formacion: Profesional en carreras administrativas, comerciales o afines.Experiencia: 3 anos en cargos similares, indispensable manejo de canales.Preferiblemente del sector Tecnologia o Telecomunicaciones (no excluyente)Ciudad: Cali, con disponibilidad de viajar.
        

        
                Profesional Senior
            
                Universitaria
            Comercio internacionalIngenieria industrialAdministracion de empresasIngenieria Comercial3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
"Desarrollador de canales y negocios - cali, colombia",Cali,Salario a convenir,"Desarrollador de canales
                                        
                                            Desarrollador de negocios distribuidores
                                        
                                    Desarrollador territorio
                                
                                    Jefe comercial distribuidores",Universitaria,"3 anos de experiencia
        
          Contrato Indefinido
        1886384780",None,/co/ofertas-trabajo/desarrollador-de-canales-y-negocios-cali-colombia-1886384780,"Estamos en busqueda de Desarrollador/a de Canales para unirse a una importante empresa multinacional SaaS lider en la industria de GPS con sede en Cali, Colombia, para su equipo de marketing.Liderar el desarrollo y gestion de canales de la organizacion, incluyendo clientes finales y distribuidores a nivel LATAM. Sera responsable de la identificacion de nuevas oportunidades comerciales, el fortalecimiento de relaciones estrategicas y la expansion del alcance de la compania en el mercado.Funciones Principales:- Disenar e implementar estrategias de desarrollo de canales para alcanzar los objetivos comerciales de la organizacion.- Gestionar y fortalecer relaciones con distribuidores y clientes finales en LATAM, asegurando un alto nivel de satisfaccion.- Identificar nuevas oportunidades de negocio y prospectar clientes potenciales.- Analizar y optimizar el rendimiento de los canales existentes, implementando mejoras continuas.- Realizar estudios de mercado para identificar tendencias, oportunidades y amenazas en el sector.- Preparar reportes e indicadores clave de gestion (KPI) relacionados con el desempeno de los canales.- Participar en negociaciones comerciales para asegurar acuerdos favorables y alineados con los objetivos corporativos.- Mantener un contacto cercano con las areas internas de la organizacion, como ventas, marketing y operaciones, para garantizar la alineacion estrategica.Requisitos:- Formacion Academica: Profesional en carreras administrativas, comerciales o afines.- Experiencia: Minimo 3 anos en cargos similares, con experiencia comprobable en manejo y desarrollo de canales.- Sector Deseable: Experiencia en el sector de tecnologia o telecomunicaciones (no excluyente).- Ubicacion: Cali, con disponibilidad para viajar segun las necesidades del cargo.Ofrecemos:- Oportunidad de crecimiento en una compania con presencia regional.- Ambiente dinamico y retador.- Beneficios competitivos acorde al mercado.Si cumples con los requisitos y te apasiona el desarrollo de canales comerciales, esperamos tu postulacion
        

        
                Profesional Senior
            
                Universitaria
            Comercio internacionalIngenieria industrialAdministracion de empresasIngenieria Comercial3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
